,code,mean_profit,win_rate,sharpe_ratio,trade_times,odds,exp_return,sector
157,SOXX,2.039318711472410,0.47540983606557400,0.30179167833756400,61,2.6484547131684300,2.3997046401118700,Semiconductor
25,IWY,2.1091527674904100,0.4528301886792450,0.31374167083648800,53,3.5962318142834400,2.9756480209755600,Growth
31,SNSR,2.10987076885824,0.47368421052631600,0.2616603276713630,38,2.763193674542020,2.4864018907285700,IOT
7,QTEC,2.1157351195587600,0.46551724137931000,0.2954597488882530,116,2.844983556602550,2.4774253858397100,Technology
155,QTEC,2.1157351195587600,0.46551724137931000,0.2954597488882530,116,2.844983556602550,2.4774253858397100,Technology
48,QCLN,2.156538998325180,0.34375,0.1444520324550790,128,3.8474853869380300,2.0150424343108800,Energy
121,QCLN,2.156538998325180,0.34375,0.1444520324550790,128,3.8474853869380300,2.0150424343108800,Energy
35,ONLN,2.1711876950071400,0.3103448275862070,0.1404978495640970,29,4.360060812625590,1.9617429129591300,Online Retail
154,IXN,2.4575658991733700,0.5263157894736840,0.3542621202134910,57,2.8846068872963200,3.2044422702944000,Technology
6,QQQ,2.520824139859430,0.5384615384615380,0.370283935517291,104,2.887452873078310,3.3679652927779300,U.S. Equity
56,QQQ,2.520824139859430,0.5384615384615380,0.370283935517291,104,2.887452873078310,3.3679652927779300,U.S. Equity
153,XLK,2.5514820392933600,0.49122807017543900,0.35874082605444900,57,3.424786915133980,3.306041006552210,Technology
49,PBW,2.559148815701760,0.3898305084745760,0.1692537784962540,59,3.4774892868389900,2.221365209515570,Clean energy
38,IBUY,2.6057606319313200,0.3695652173913040,0.16814254449091000,46,3.6036800363170800,2.1121670568596100,Online Retail
44,BOTZ,2.6504309532702500,0.4358974358974360,0.28126618350095900,39,3.6223549189402000,2.798596322560250,Robotics and AI
156,VGT,2.6831492193825300,0.5,0.3680264307154620,54,3.131548225503950,3.130922041095730,Technology
34,SOCL,2.7100335694128000,0.45454545454545500,0.2578289185111310,55,3.326768605807990,2.7717990083551300,Social media
145,LIT,2.73057020808772,0.3448275862068970,0.19416715072829100,58,4.327631823141010,2.2773533635082100,Li & Battery
43,DRIV,3.1341054998262300,0.4482758620689660,0.2320025611198330,29,3.3357008649730400,2.7097658077379400,Autonomous and Electric Vehicles
47,TAN,3.534303352014770,0.3275862068965520,0.16012980801582000,116,4.9074108156916400,2.3904343840695800,Solar
123,TAN,3.534303352014770,0.3275862068965520,0.16012980801582000,116,4.9074108156916400,2.3904343840695800,Solar
